,dealer_cards,player_cards,points,mean_profit_stand,mean_profit_hit,mean_profit_double,insurance,n_iter
0,A,"['A', 'T']",21,0.69274,,,True,50000
1,A,"['A', '9']",20,0.13202,-0.31632,-0.65656,True,50000
2,A,"['A', '8']",19,-0.12754,-0.36758,-0.7258,True,50000
3,A,"['A', '7']",18,-0.39182,-0.41634,-0.83532,True,50000
4,A,"['A', '6']",17,-0.6475,-0.47632,-0.9662,True,50000
5,A,"['A', '5']",16,-0.77688,-0.52554,-1.0454,True,50000
6,A,"['A', '4']",15,-0.76584,-0.51818,-1.018,True,50000
7,A,"['A', '3']",14,-0.76908,-0.504,-0.99664,True,50000
8,A,"['A', '2']",13,-0.76748,-0.49714,-0.9924,True,50000
9,A,"['T', '9']",19,-0.09684,-0.798,-1.59424,True,50000
10,A,"['T', '8']",18,-0.36326,-0.72448,-1.43392,True,50000
11,A,"['T', '7']",17,-0.63016,-0.66228,-1.3276,True,50000
12,A,"['T', '6']",16,-0.76112,-0.62488,-1.25984,True,50000
13,A,"['T', '5']",15,-0.77364,-0.63442,-1.25788,True,50000
14,A,"['T', '4']",14,-0.76992,-0.60708,-1.19968,True,50000
15,A,"['T', '3']",13,-0.7682,-0.57304,-1.14724,True,50000
16,A,"['T', '2']",12,-0.76952,-0.5604,-1.14068,True,50000
17,A,"['9', '8']",17,-0.62672,-0.66424,-1.33868,True,50000
18,A,"['9', '7']",16,-0.76256,-0.63164,-1.25228,True,50000
19,A,"['9', '6']",15,-0.75556,-0.6458,-1.30492,True,50000
20,A,"['9', '5']",14,-0.7666,-0.61548,-1.22016,True,50000
21,A,"['9', '4']",13,-0.76324,-0.58648,-1.16212,True,50000
22,A,"['9', '3']",12,-0.77128,-0.59928,-1.18604,True,50000
23,A,"['9', '2']",11,-0.77332,-0.1562,-0.31332,True,50000
24,A,"['8', '7']",15,-0.75276,-0.6131,-1.231,True,50000
25,A,"['8', '6']",14,-0.747,-0.61614,-1.23064,True,50000
26,A,"['8', '5']",13,-0.76004,-0.62314,-1.24192,True,50000
27,A,"['8', '4']",12,-0.76296,-0.58646,-1.17008,True,50000
28,A,"['8', '3']",11,-0.76336,-0.15604,-0.32344,True,50000
29,A,"['8', '2']",10,-0.7658,-0.29946,-0.5792,True,50000
30,A,"['7', '6']",13,-0.74464,-0.61444,-1.23172,True,50000
31,A,"['7', '5']",12,-0.7548,-0.5848,-1.16168,True,50000
32,A,"['7', '4']",11,-0.75664,-0.15074,-0.30016,True,50000
33,A,"['7', '3']",10,-0.75648,-0.2922,-0.58056,True,50000
34,A,"['7', '2']",9,-0.75924,-0.423,-0.92828,True,50000
35,A,"['6', '5']",11,-0.75232,-0.13812,-0.27508,True,50000
36,A,"['6', '4']",10,-0.7544,-0.29136,-0.5682,True,50000
37,A,"['6', '3']",9,-0.75216,-0.4091,-0.93276,True,50000
38,A,"['6', '2']",8,-0.751,-0.51384,-1.2006,True,50000
39,A,"['5', '4']",9,-0.765,-0.4041,-0.93128,True,50000
40,A,"['5', '3']",8,-0.7654,-0.51488,-1.18916,True,50000
41,A,"['5', '2']",7,-0.77072,-0.59532,-1.4118,True,50000
42,A,"['4', '3']",7,-0.77608,-0.6107,-1.40884,True,50000
43,A,"['4', '2']",6,-0.77096,-0.63522,-1.5296,True,50000
44,A,"['3', '2']",5,-0.7728,-0.6297,-1.53616,True,50000
